ADT-HURSAT SID ,ALT SID IBTrACS,ATCF ID   ,Names and sources in IBTrACS
1978151N15260  ,               ,bep011978 ,ALETTA[hurdat_epa] = bep011978[jtwc_ep] = UNNAMED[td9636] = bep011978[atcf] = ALETTA[ds824]
1978168N11242  ,               ,bep021978 ,BUD[hurdat_epa] = bep021978[jtwc_ep] = UNNAMED[td9636] = bep021978[atcf] = BUD[ds824]
1978168N14254  ,               ,bep031978 ,CARLOTTA[hurdat_epa] = bep031978[jtwc_ep] = UNNAMED[td9636] = bep031978[atcf] = CARLOTTA[ds824]
1978173N25274  ,               ,bal021978 ,UNNAMED[hurdat_atl] = bal021978[atcf]
1978178N14260  ,               ,bep041978 ,DANIEL[hurdat_epa] = bep041978[jtwc_ep] = UNNAMED[td9636] = bep041978[atcf] = DANIEL[ds824]
1978181N14235  ,               ,bep051978 ,bep051978[jtwc_ep] = UNNAMED[td9636]
1978188N15248  ,               ,multiple  ,EMILIA[hurdat_epa] = bep061978[jtwc_ep] = UNNAMED[td9636] = bep051978[atcf] = EMILIA[ds824]
1978190N11254  ,               ,multiple  ,FICO[hurdat_epa] = bep071978[jtwc_ep] = FICO[cphc] = UNNAMED[td9636] = bep061978[atcf] = FICO[ds824]
1978192N15333  ,               ,bal031978 ,UNNAMED[hurdat_atl] = bal031978[atcf]
1978194N11261  ,               ,multiple  ,GILMA[hurdat_epa] = bep081978[jtwc_ep] = UNNAMED[td9636] = bep071978[atcf] = GILMA[ds824]
1978203N13260  ,               ,multiple  ,HECTOR[hurdat_epa] = bep091978[jtwc_ep] = UNNAMED[td9636] = bep081978[atcf] = HECTOR[ds824]
1978212N26263  ,               ,bal041978 ,AMELIA[hurdat_atl] = bal041978[atcf]
1978218N25270  ,               ,bal051978 ,BESS[hurdat_atl] = bal051978[atcf]
1978220N13308  ,               ,bal071978 ,UNNAMED[hurdat_atl] = bal071978[atcf]
1978220N13325  ,               ,bal061978 ,CORA[hurdat_atl] = bal061978[atcf]
1978222N27270  ,               ,bal081978 ,UNNAMED[hurdat_atl] = bal081978[atcf]
1978223N18252  ,               ,multiple  ,IVA[hurdat_epa] = bep101978[jtwc_ep] = UNNAMED[td9636] = bep091978[atcf] = IVA[ds824]
1978230N12239  ,               ,multiple  ,JOHN[hurdat_epa] = bep111978[jtwc_ep] = JOHN[cphc] = UNNAMED[td9636] = bep101978[atcf] = JOHN[ds824]
1978231N13224  ,               ,multiple  ,LANE[hurdat_epa] = bep131978[jtwc_ep] = LANE[cphc] = UNNAMED[td9636] = bep121978[atcf] = LANE[ds824]
1978231N14251  ,               ,multiple  ,KRISTY[hurdat_epa] = bep121978[jtwc_ep] = KRISTY[cphc] = UNNAMED[td9636] = bep111978[atcf] = KRISTY[ds824]
1978236N11245  ,               ,multiple  ,MIRIAM[hurdat_epa] = bep141978[jtwc_ep] = MIRIAM[cphc] = UNNAMED[td9636] = bep131978[atcf] = MIRIAM[ds824]
1978239N23272  ,               ,bal091978 ,DEBRA[hurdat_atl] = bal091978[atcf]
1978242N26300  ,               ,bal101978 ,ELLA[hurdat_atl] = bal101978[atcf]
1978243N13262  ,               ,multiple  ,NORMAN[hurdat_epa] = bep151978[jtwc_ep] = UNNAMED[td9636] = bep141978[atcf] = NORMAN[ds824]
1978243N28269  ,               ,bal111978 ,UNNAMED[hurdat_atl] = bal111978[atcf]
1978247N12321  ,               ,bal131978 ,FLOSSIE[hurdat_atl] = bal131978[atcf]
1978247N14344  ,               ,bal121978 ,UNNAMED[hurdat_atl] = bal121978[atcf]
1978251N12261  ,               ,bep161978 ,bep161978[jtwc_ep] = UNNAMED[td9636]
1978252N23266  ,               ,bal141978 ,UNNAMED[hurdat_atl] = bal141978[atcf]
1978255N30280  ,               ,bal151978 ,HOPE[hurdat_atl] = bal151978[atcf]
1978257N11298  ,               ,multiple  ,GRETA[hurdat_atl] = OLIVIA[hurdat_epa] = bep171978[jtwc_ep] = UNNAMED[td9636] = bal161978[atcf] = bep151978[atcf] = OLIVIA[ds824]
1978262N13344  ,               ,bal171978 ,UNNAMED[hurdat_atl] = bal171978[atcf]
1978265N20269  ,               ,bal181978 ,UNNAMED[hurdat_atl] = bal181978[atcf]
1978266N14260  ,               ,multiple  ,PAUL[hurdat_epa] = bep181978[jtwc_ep] = UNNAMED[td9636] = bep161978[atcf] = PAUL[ds824]
1978276N14257  ,               ,multiple  ,ROSA[hurdat_epa] = bep191978[jtwc_ep] = UNNAMED[td9636] = bep171978[atcf] = ROSA[ds824]
1978276N32329  ,               ,bal191978 ,IRMA[hurdat_atl] = bal191978[atcf]
1978281N18304  ,               ,bal201978 ,JULIET[hurdat_atl] = bal201978[atcf]
1978292N16252  ,               ,multiple  ,SERGIO[hurdat_epa] = bep201978[jtwc_ep] = UNNAMED[td9636] = bep181978[atcf] = SERGIO[ds824]
1978300N08334  ,               ,bal221978 ,UNNAMED[hurdat_atl] = bal221978[atcf]
1978302N24287  ,               ,bal231978 ,KENDRA[hurdat_atl] = bal231978[atcf]
1978308N30285  ,               ,bal241978 ,UNNAMED[hurdat_atl] = bal241978[atcf]
1978330N09148  ,               ,bwp321978 ,bwp321978[jtwc_wp] = WINNIE[tokyo] = WINNIE[cma] = WINNIE[hko] = UNNAMED[td9636] = WINNIE[ds824]
1978347N10127  ,               ,none      ,UNNAMED[cma]
1978354S10088  ,               ,bsh031979 ,bsh031979[jtwc_sh] = UNNAMED[td9636] = HSK0379[neumann] = 03S[ds824]
1978359S04172  ,               ,bsh041979 ,bsh041979[jtwc_sh] = FAY[wellington] = UNNAMED[td9636] = FAY[neumann] = 04P[ds824]
1978361N02180  ,               ,bwp011979 ,bwp011979[jtwc_wp] = ALICE[tokyo] = ALICE[cma] = ALICE[hko] = UNNAMED[td9636] = ALICE[ds824]
1978363S10136  ,               ,bsh051979 ,bsh051979[jtwc_sh] = PETER[bom] = UNNAMED[td9636] = PETER[neumann] = 05P[ds824] = PETER[ds824]
1979002S04179  ,               ,bsh061979 ,bsh061979[jtwc_sh] = GORDON[bom] = GORDON[wellington] = UNNAMED[td9636] = GORDON[neumann] = 06P[ds824] = GORDON[ds824]
1979008S14137  ,               ,bsh081979 ,bsh081979[jtwc_sh] = GRETA[bom] = UNNAMED[td9636] = GRETA[neumann] = GRETA[ds824] = 08P[ds824]
1979027S15167  ,               ,bsh091979 ,bsh091979[jtwc_sh] = HENRY[wellington] = UNNAMED[td9636] = HENRY[neumann] = 09P[ds824]
1979031S12056  ,               ,bsh101979 ,bsh101979[jtwc_sh] = CELINE[reunion] = UNNAMED[td9636] = CELINE[neumann] = 10S[ds824]
1979033S18151  ,               ,bsh111979 ,bsh111979[jtwc_sh] = UNNAMED[td9636] = HSK1079[neumann] = 11P[ds824]
1979042S05170  ,               ,bsh131979 ,bsh131979[jtwc_sh] = KERRY[bom] = KERRY[wellington] = UNNAMED[td9636] = KERRY[neumann] = 13P[ds824] = KERRY[ds824]
1979043S11161  ,               ,bsh161979 ,bsh161979[jtwc_sh] = ROSA[bom] = UNNAMED[td9636] = ROSA[neumann] = ROSA[ds824] = 16P[ds824]
1979051S16187  ,               ,bsh171979 ,bsh171979[jtwc_sh] = LESLIE[wellington] = UNNAMED[td9636] = LESLIE[neumann] = 17P[ds824]
1979066S15124  ,               ,bsh191979 ,bsh191979[jtwc_sh] = HAZEL[bom] = UNNAMED[td9636] = HAZEL[neumann] = HAZEL[ds824] = 19S[ds824]
1979075S13092  ,               ,bsh201979 ,bsh201979[jtwc_sh] = IVAN[bom] = UNNAMED[td9636] = IVAN[neumann] = IVAN[ds824] = 20S[ds824]
1979077N07150  ,               ,bwp021979 ,bwp021979[jtwc_wp] = BESS[tokyo] = BESS[cma] = BESS[hko] = UNNAMED[td9636] = BESS[ds824]
1979083S15184  ,               ,bsh221979 ,bsh221979[jtwc_sh] = MELI[wellington] = UNNAMED[td9636] = MELI[neumann] = 22P[ds824]
1979090S12168  ,               ,bsh231979 ,bsh231979[jtwc_sh] = UNNAMED[td9636] = HSK2379[neumann] = 23P[ds824]
1979093S08156  ,               ,bsh241979 ,bsh241979[jtwc_sh] = STAN[bom] = UNNAMED[td9636] = STAN[neumann] = 24P[ds824] = STAN[ds824]
1979094S10073  ,               ,bsh251979 ,bsh251979[jtwc_sh] = IDYLLE[bom] = IDYLLE[reunion] = UNNAMED[td9636] = IDYLLE[neumann] = 25S[ds824] = IDYLLE[ds824]
1979097S07091  ,               ,bsh261979 ,bsh261979[jtwc_sh] = JANE[bom] = UNNAMED[td9636] = JANE[neumann] = JANE[ds824] = 26S[ds824]
1979098N02144  ,               ,bwp031979 ,bwp031979[jtwc_wp] = CECIL[tokyo] = CECIL[cma] = CECIL[hko] = UNNAMED[td9636] = CECIL[ds824]
1979118S06094  ,               ,bsh271979 ,bsh271979[jtwc_sh] = UNNAMED[td9636] = 27S[ds824]
1979122S04095  ,               ,bsh271979 ,bsh271979[jtwc_sh] = KEVIN[bom] = UNNAMED[td9636] = KEVIN[neumann] = 27S[ds824] = KEVIN[ds824]
1979126N04148  ,               ,bwp041979 ,bwp041979[jtwc_wp] = DOT[tokyo] = DOT[cma] = DOT[hko] = UNNAMED[td9636] = DOT[ds824]
1979126N07090  ,               ,bio011979 ,bio011979[jtwc_io] = UNNAMED[td9636] = 01B[ds824]
1979137N19116  ,               ,bwp051979 ,bwp051979[jtwc_wp] = UNNAMED[tokyo] = UNNAMED[cma] = TD0521[hko] = UNNAMED[td9636] = 05W[ds824]
1979137N19117  ,               ,none      ,UNNAMED[cma]
1979152N11265  ,               ,multiple  ,ANDRES[hurdat_epa] = bep021979[jtwc_ep] = UNNAMED[td9636] = bep011979[atcf] = ANDRES[ds824]
1979152N13253  ,               ,bep011979 ,bep011979[jtwc_ep] = UNNAMED[td9636]
1979163N17279  ,               ,bal011979 ,UNNAMED[hurdat_atl] = bal011979[atcf]
1979167N13071  ,               ,bio021979 ,bio021979[jtwc_io] = UNNAMED[td9636] = 02A[ds824]
1979168N13116  ,               ,none      ,UNNAMED[cma] = TD0621[hko]
1979171N10315  ,               ,bal021979 ,ANA[hurdat_atl] = bal021979[atcf]
1979172N10257  ,               ,multiple  ,BLANCA[hurdat_epa] = bep031979[jtwc_ep] = UNNAMED[td9636] = bep021979[atcf] = BLANCA[ds824]
1979174N07143  ,               ,bwp061979 ,bwp061979[jtwc_wp] = ELLIS[tokyo] = ELLIS[cma] = ELLIS[hko] = UNNAMED[td9636] = ELLIS[ds824]
1979180N03155  ,               ,bwp071979 ,bwp071979[jtwc_wp] = FAYE[tokyo] = FAYE[cma] = FAYE[hko] = UNNAMED[td9636] = FAYE[ds824]
1979190N20290  ,               ,bal031979 ,UNNAMED[hurdat_atl] = bal031979[atcf]
1979191N22264  ,               ,bal041979 ,BOB[hurdat_atl] = bal041979[atcf]
1979192N30280  ,               ,bal051979 ,UNNAMED[hurdat_atl] = bal051979[atcf]
1979196N17257  ,               ,multiple  ,CARLOS[hurdat_epa] = bep041979[jtwc_ep] = UNNAMED[td9636] = bep031979[atcf] = CARLOS[ds824]
1979197N13314  ,               ,bal061979 ,CLAUDETTE[hurdat_atl] = bal061979[atcf]
1979197N20252  ,               ,bep051979 ,bep051979[jtwc_ep] = UNNAMED[td9636]
1979198N11256  ,               ,multiple  ,DOLORES[hurdat_epa] = bep061979[jtwc_ep] = UNNAMED[td9636] = bep041979[atcf] = DOLORES[ds824]
1979204N19143  ,               ,bwp081979 ,bwp081979[jtwc_wp] = UNNAMED[cma] = UNNAMED[td9636] = 08W[ds824]
1979205N10148  ,               ,multiple  ,bwp091979[jtwc_wp] = HOPE[tokyo] = HOPE[cma] = bio031979[jtwc_io] = HOPE[hko] = UNNAMED[td9636] = UNNAMED[td9636] = HOPE[ds824] = 03B[ds824]
1979205N17325  ,               ,bal071979 ,UNNAMED[hurdat_atl] = bal071979[atcf]
1979206N19132  ,               ,bwp101979 ,bwp101979[jtwc_wp] = GORDON[tokyo] = GORDON[cma] = GORDON[hko] = GORDON[ds824]
1979213N17306  ,               ,bal081979 ,UNNAMED[hurdat_atl] = bal081979[atcf]
